"state","fips","asthma_count","obesity_rate_2016","obesity_rate_2017","pct_daily_smokers","meanAQI.Ozone","meanAQI.Other","meanAQI.PM2.5","pct_black","pct_white","total_population"
"Alabama","01",NA,18.2,18.2,0.215,41.9843416370107,70.2,40.9933712121212,0.264793556161603,0.659986046806621,1098851
"Arizona","04",129244,15.9,14.2,0.147,48.695652173913,193.498147502791,43.9225941422594,0.039935511544321,0.555384638139893,1628054
"Arkansas","05",NA,19.1,15.6,0.236,37.7863811092806,32.927454659162,39.1722282023681,0.152517786834289,0.730434482282241,705243
"California","06",588421,16.1,15.6,0.11,53.9729661868095,137.066899236759,52.2707070707071,0.0537427423886126,0.375072836243315,9089743
"Colorado","08",NA,9,10.7,0.156,48.57648,133.644293782443,32.546835443038,0.0385135510642634,0.6870565569367,1259553
"Connecticut","09",78916,13.4,11.9,0.133,46.9710227272727,32.1086956521739,39.0502215657312,0.0981501255375025,0.67594008830914,752076
"Delaware","10",NA,16.8,16.7,0.177,44.6068796068796,107.214285714286,46.8014981273408,0.206967434815536,0.629557502975225,204439
"Florida","12",304053,17.9,16.9,0.155,38.2916137229987,83.2943037389122,40.4007362608467,0.151449563145353,0.546937053216839,4163893
"Georgia","13",207109,18.6,18.4,0.179,44.6943231441048,70.4953711222998,38.423819301848,0.308309169083092,0.533896610338966,2510284
"Idaho","16",NA,14.9,13.4,0.145,40.6661608497724,63.7035024154589,29.3690176322418,0.00520991094687102,0.825407402919973,437641
"Illinois","17",207644,14.9,16.2,0.158,40.5105077180584,96.4797866388435,42.6101141924959,0.137360701934162,0.618019085436147,2928924
"Indiana","18",124718,18.5,17.5,0.211,44.080106302202,66.1832350982071,37.6001734605377,0.0906334546133035,0.797524644711882,1575055
"Iowa","19",NA,17.5,17.7,0.167,38.5996430696014,53.4967841133226,40.4182108626198,0.0325699577613516,0.865727296726505,730383
"Kansas","20",61729,11.6,13,0.172,37.3935222672065,53.359768907563,38.935817805383,0.0558750443734469,0.764749733759318,715479
"Kentucky","21",74500,19.6,19.3,0.245,41.5461400359066,43.293479766141,42.4082961947206,0.0799263008139562,0.851762016932155,1011521
"Louisiana","22",NA,19.2,19.1,0.228,38.116365899191,132.138421052632,42.0646303674192,0.318044365964022,0.593576867895376,1114593
"Maine","23",18009,13.9,14.7,0.198,35.0160450997398,57.0814796905222,31.1461412151067,0.0154583397743082,0.935616014840006,254211
"Maryland","24",NA,16.9,15.7,0.137,47.0142547257515,45.9852216748768,39.5509708737864,0.293093144369504,0.513975924186801,1348377
"Massachusetts","25",125763,15,15,0.136,38.1224547511312,79.7127659574468,38.5027573529412,0.0670258423888229,0.726235047027669,1376019
"Michigan","26",185141,13.9,17.3,0.204,43.3907392363932,114.944714759185,34.4613653413353,0.134533450250168,0.756197451900758,2189505
"Minnesota","27",85117,13.4,10.4,0.152,33.0715214564369,107.958042606263,27.0935929648241,0.0565558419403289,0.807061135937993,1290638
"Mississippi","28",44741,26.2,26.1,0.227,38.9497950819672,13.3823088455772,37.4818339100346,0.37609531396114,0.571814497973886,720685
"Missouri","29",115545,14,12.7,0.221,41.6084828711256,67.9938922989857,35.8259989883662,0.113055272973889,0.798304510003391,1386363
"Montana","30",12728,12.4,12.3,0.185,35.6409155937053,84.6003032237472,33.1188486536676,0.01,0.866121564377894,227377
"Nebraska","31",29825,16.7,15.5,0.17,38.0445945945946,72.3396884445478,28.888665997994,0.0441734417344173,0.799566395663957,473569
"Nevada","32",41264,14.5,14.7,0.165,48.1494435612083,63.826546299022,37.4137323943662,0.0833794630500969,0.498650705784666,677630
"New Hampshire","33",NA,8.5,9.8,0.18,38.003726129483,9.22222222222222,37.6858108108108,0.01053202199334,0.910632695732982,260665
"New Jersey","34",154201,14.8,14.8,0.14,43.4800741427247,164.952813852814,43.8553561718325,0.124493592157668,0.557293984730734,1987515
"New Mexico","35",47112,13.1,15.1,0.166,46.2627318718381,66.195983935743,18.4566635601118,0.0164580664235735,0.379225386813837,493051
"New York","36",364877,14.8,15.3,0.142,38.8056718433491,32.6483180428135,35.1602300739523,0.141919205056837,0.555820305387197,4181345
"North Carolina","37",NA,12.6,13.1,0.179,42.7305527493145,43.3872201760123,37.3016469228547,0.210480269382191,0.636374734229239,2295504
"North Dakota","38",NA,15.8,12.5,0.198,32.6327724945135,76.2649748743719,39.8089330024814,0.0256233640997383,0.853698856591817,175056
"Ohio","39",171051,18.6,18.6,0.225,45.3086271567892,49.4604085872516,37.3890489913545,0.121060051247041,0.795818667044961,2614072
"Oklahoma","40",88720,18.1,18.7,0.196,39.9705557600294,59.3406007697362,44.1623330990864,0.068643443485582,0.663123552936224,961246
"Oregon","41",46438,10.2,11.4,0.162,34.5124826629681,53.9125683060109,26.9693911317009,0.0173869722256819,0.763308008469299,869426
"Pennsylvania","42",224979,14.2,16.8,0.18,41.7901780651015,70.2481448362021,48.6959890610757,0.102946290649996,0.77266735141168,2673992
"Rhode Island","44",18846,19.2,16.8,0.144,41.943661971831,39.3695652173913,33.1868686868687,0.055824045763882,0.727487917940625,208770
"South Carolina","45",NA,18.2,15.4,0.2,40.1668401874024,45.2057259713701,40.4882352941176,0.266539029821239,0.640022475183651,1098070
"South Dakota","46",NA,13,13.6,0.181,36.9671689989236,54.9623255813953,27.0671077504726,0.0134003350083752,0.82735104091888,213115
"Tennessee","47",NA,19.2,15.6,0.221,44.6917771883289,95.2698504027618,35.4057803468208,0.163721261035608,0.744314052909071,1502805
"Texas","48",NA,21.3,18.5,0.143,39.571007474471,108.087368024133,37.9553552264434,0.11496671977276,0.425173759948194,7305001
"Utah","49",52108,9.5,8.7,0.088,47.8046564452016,87.9006050129646,45.7547619047619,0.00980228720034675,0.787483746207448,919428
"Vermont","50",9397,11.8,13,0.17,35.9873271889401,18.0833333333333,29.8834355828221,0.00833889259506338,0.934956637758506,118142
"Virginia","51",NA,14.1,13.2,0.153,40.4572209375657,48.6750661415794,32.7010690789474,0.18501652043708,0.623160786546053,1868225
"Washington","53",115898,8.7,10.1,0.139,35.3329023917259,72.9844187277816,25.4701295585413,0.0342499403433416,0.694684240816384,1628413
"West Virginia","54",NA,19.9,20.3,0.248,39.8581020590868,32.094877504213,36.308631211857,0.0342930908682719,0.924341920637593,374322
"Wisconsin","55",102501,14.6,14.3,0.171,40.053260045489,70.7166075650118,33.2156101768003,0.0595379937047641,0.818949727028613,1287543
"Wyoming","56",NA,12.9,10.6,0.189,42.5173994582205,92.0157119476268,39.038062283737,0.00702493853178785,0.847383210396909,138632
